location|203744919|-89.9954825|35.1666479
location|1782962509|-90.0144788|35.1538495
location|1782962515|-90.0056020|35.1532569
location|203744916|-89.9954575|35.1662719
location|203744878|-89.9992085|35.1408889
location|203713541|-89.9979715|35.1491519
location|203761725|-89.9951015|35.1602899
location|203651182|-89.9864335|35.1593569
location|425396341|-89.9715715|35.1580253
location|425396343|-89.9718810|35.1579855
location|203827438|-90.0134255|35.1582409
location|1782962436|-90.0126852|35.1535564
location|1782962439|-89.9975407|35.1524550
location|1782962442|-90.0104204|35.1532573
location|1782962444|-89.9877739|35.1515027
location|1782962448|-90.0131842|35.1536411
location|1782962450|-90.0205567|35.1542542
location|1782962452|-90.0157472|35.1537844
location|1782962458|-90.0093372|35.1534259
location|1782962464|-90.0019985|35.1529062
location|1782962470|-90.0109543|35.1532033
location|203744887|-89.9971405|35.1549849
location|1782962485|-90.0083725|35.1535257
location|1782962488|-90.0114699|35.1532524
location|203912927|-89.9904365|35.1603399
location|1782962493|-90.0143765|35.1537402
location|1782962495|-89.9921485|35.1519292
location|1782970692|-89.9816097|35.1510653
location|1782962501|-90.0177636|35.1539619
location|203848007|-90.0003945|35.1553369
location|1782962505|-90.0079240|35.1534915
location|203848011|-90.0002785|35.1560569
location|203912930|-89.9900655|35.1606159
location|203848014|-90.0001555|35.1568849
location|1782962512|-90.0196238|35.1541267
location|1782962526|-89.9859873|35.1513308
location|1782962529|-90.0072260|35.1534302
location|1782962532|-90.0089127|35.1534973
location|1782962547|-89.9995551|35.1526567
location|1782962550|-89.9827114|35.1510392
location|203848068|-89.9998815|35.1608599
location|203659675|-90.0006375|35.1448759
location|203659678|-90.0004875|35.1459799
location|203659679|-90.0003165|35.1470899
location|203659682|-90.0001505|35.1481859
location|203659684|-90.0000035|35.1493099
location|203659685|-89.9998275|35.1504079
location|203659689|-89.9996515|35.1515739
location|203659691|-89.9995306|35.1528492
location|203659694|-89.9993165|35.1540939
location|203659698|-89.9991672|35.1551965
location|203659705|-89.9989012|35.1570772
location|203954622|-89.9441915|35.1712419
location|203954626|-89.9454475|35.1703469
location|203659717|-89.9989365|35.1580669
location|203954633|-89.9473835|35.1690049
location|203659723|-89.9988415|35.1587739
location|203659726|-89.9986095|35.1591429
location|203954640|-89.9500215|35.1669789
location|203659729|-89.9985365|35.1596269
location|203659730|-89.9983895|35.1606859
location|203954645|-89.9532465|35.1644789
location|203659736|-89.9987175|35.1607389
location|203954650|-89.9536095|35.1642439
location|203659741|-89.9982845|35.1640179
